MachineShop.MachineShop.1 	 resumes 	 Part.c.19 	 at time 22.39025076307643.
Part.c.19 	 resumes 	 MachineShop.MachineShop.1 	 at time 22.39025076307643.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 22.557149987145962.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 22.557149987145962.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 22.64228851771305.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 22.64228851771305.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 23.206944395499008.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 23.206944395499008.
MachineShop.MachineShop.1 	 resumes 	 Part.c.19 	 at time 23.283069814940056.
Part.c.19 	 resumes 	 MachineShop.MachineShop.1 	 at time 23.283069814940056.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 23.30404462389971.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 23.30404462389971.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 23.856738803852053.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 23.856738803852053.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 23.897004559072954.
Resource.Machine1.5 	 releases 	 Part.c.17 	 at time 23.897004559072954.
Transport.toMachine2.11 	 moves for 18.279480757191777 	 Part.c.17 	 at time 23.897004559072954.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 23.897004559072954.
MachineShop.MachineShop.1 	 resumes 	 Part.c.16 	 at time 23.897004559072954.
WaitQueue.Q1.3 	 wait ends 	 Part.c.16 	 at time 23.897004559072954.
Resource.Machine1.5 	 serves for 5.080878682242355 	 Part.c.16 	 at time 23.897004559072954.
Part.c.16 	 resumes 	 MachineShop.MachineShop.1 	 at time 23.897004559072954.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 23.965800730086368.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 23.965800730086368.
MachineShop.MachineShop.1 	 resumes 	 Part.c.19 	 at time 24.17588886680368.
Part.c.19 	 resumes 	 MachineShop.MachineShop.1 	 at time 24.17588886680368.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 24.5065332122051.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 24.5065332122051.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 24.627556836273026.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 24.627556836273026.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 24.810978596932543.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 24.810978596932543.
MachineShop.MachineShop.1 	 resumes 	 Part.c.19 	 at time 25.068707918667307.
Part.c.19 	 resumes 	 MachineShop.MachineShop.1 	 at time 25.068707918667307.
MachineShop.MachineShop.1 	 resumes 	 Part.c.18 	 at time 25.156327620558145.
Part.c.18 	 resumes 	 MachineShop.MachineShop.1 	 at time 25.156327620558145.
MachineShop.MachineShop.1 	 resumes 	 Part.c.15 	 at time 25.289312942459684.
Part.c.15 	 resumes 	 MachineShop.MachineShop.1 	 at time 25.289312942459684.
MachineShop.MachineShop.1 	 resumes 	 Part.c.17 	 at time 25.724952634792132.
Part.c.17 	 resumes 	 MachineShop.MachineShop.1 	 at time 25.724952634792132.
